CREATE VIEW
 fase |     isbn      | tiempo 
------+---------------+--------
 PF   | 0000000014579 |     35
 PF   | 0000000022564 |     35
 PF   | 0000000021472 |     35
 PF   | 0000000014056 |     35
 PF   | 0000000016531 |     35
 PF   | 0000000026198 |     35
 PF   | 0000000003265 |     35
 PF   | 0000000023297 |     35
 PF   | 0000000012784 |     35
 PF   | 0000000002562 |     35
 PF   | 0000000017487 |     35
 PF   | 0000000002021 |     35
 PF   | 0000000026710 |     35
 PF   | 0000000002562 |     35
 PF   | 0000000002021 |     35
 PF   | 0000000017487 |     35
 PF   | 0000000001531 |     35
 PF   | 0000000000813 |     35
 PF   | 0000000017487 |     35
 PF   | 0000000001531 |     35
 PF   | 0000000014579 |     35
 PF   | 0000000026710 |     35
 PF   | 0000000022564 |     35
 PF   | 0000000012784 |     35
 PF   | 0000000000103 |     35
 PF   | 0000000023297 |     35
 PF   | 0000000003265 |     35
 PF   | 0000000026198 |     35
 PF   | 0000000014056 |     35
 PF   | 0000000000541 |     35
 PF   | 0000000020852 |     35
 PF   | 0000000012784 |     35
 PF   | 0000000000103 |     35
 PF   | 0000000023297 |     35
 PF   | 0000000019312 |     35
 PF   | 0000000014056 |     35
 PF   | 0000000014284 |     35
 PF   | 0000000000541 |     35
 PF   | 0000000021472 |     35
 PF   | 0000000020852 |     35
 PF   | 0000000021472 |     35
 PF   | 0000000014284 |     35
 PF   | 0000000000541 |     35
 PF   | 0000000003265 |     35
 PF   | 0000000000103 |     35
 PF   | 0000000019009 |     35
 PF   | 0000000002562 |     35
 PF   | 0000000026710 |     35
 PF   | 0000000002021 |     35
 SF   | 0000000022564 |     35
 SF   | 0000000014579 |     35
 SF   | 0000000002021 |     35
 SF   | 0000000026710 |     35
 SF   | 0000000002562 |     35
 SF   | 0000000019009 |     35
 SF   | 0000000000103 |     35
 SF   | 0000000003265 |     35
 SF   | 0000000000541 |     35
 SF   | 0000000014284 |     35
 SF   | 0000000021472 |     35
 SF   | 0000000020852 |     35
 SF   | 0000000021472 |     35
 SF   | 0000000000541 |     35
 SF   | 0000000014284 |     35
 SF   | 0000000014056 |     35
 SF   | 0000000019312 |     35
 SF   | 0000000023297 |     35
 SF   | 0000000000103 |     35
 SF   | 0000000012784 |     35
 SF   | 0000000020852 |     35
 SF   | 0000000000541 |     35
 SF   | 0000000014056 |     35
 SF   | 0000000026198 |     35
 SF   | 0000000003265 |     35
 SF   | 0000000023297 |     35
 SF   | 0000000000103 |     35
 SF   | 0000000012784 |     35
 SF   | 0000000022564 |     35
 SF   | 0000000026710 |     35
 SF   | 0000000014579 |     35
 SF   | 0000000001531 |     35
 SF   | 0000000017487 |     35
 SF   | 0000000000813 |     35
 SF   | 0000000001531 |     35
 SF   | 0000000017487 |     35
 SF   | 0000000002021 |     35
 SF   | 0000000002562 |     35
 SF   | 0000000026710 |     35
 SF   | 0000000002021 |     35
 SF   | 0000000017487 |     35
 SF   | 0000000002562 |     35
 SF   | 0000000012784 |     35
 SF   | 0000000023297 |     35
 SF   | 0000000003265 |     35
 SF   | 0000000026198 |     35
 SF   | 0000000016531 |     35
 SF   | 0000000014056 |     35
 SF   | 0000000021472 |     35
 TF   | 0000000014579 |     35
 TF   | 0000000022564 |     35
 TF   | 0000000021472 |     35
 TF   | 0000000014056 |     35
 TF   | 0000000016531 |     35
 TF   | 0000000026198 |     35
 TF   | 0000000003265 |     35
 TF   | 0000000023297 |     35
 TF   | 0000000012784 |     35
 TF   | 0000000002562 |     35
 TF   | 0000000017487 |     35
 TF   | 0000000002021 |     35
 TF   | 0000000026710 |     35
 TF   | 0000000002562 |     35
 TF   | 0000000002021 |     35
 TF   | 0000000017487 |     35
 TF   | 0000000001531 |     35
 TF   | 0000000000813 |     35
 TF   | 0000000017487 |     35
 TF   | 0000000001531 |     35
 TF   | 0000000014579 |     35
 TF   | 0000000026710 |     35
 TF   | 0000000022564 |     35
 TF   | 0000000012784 |     35
 TF   | 0000000000103 |     35
 TF   | 0000000023297 |     35
 TF   | 0000000003265 |     35
 TF   | 0000000026198 |     35
 TF   | 0000000014056 |     35
 TF   | 0000000000541 |     35
 TF   | 0000000020852 |     35
 TF   | 0000000012784 |     35
 TF   | 0000000000103 |     35
 TF   | 0000000023297 |     35
 TF   | 0000000019312 |     35
 TF   | 0000000014056 |     35
 TF   | 0000000014284 |     35
 TF   | 0000000000541 |     35
 TF   | 0000000021472 |     35
 TF   | 0000000020852 |     35
 TF   | 0000000021472 |     35
 TF   | 0000000014284 |     35
 TF   | 0000000000541 |     35
 TF   | 0000000003265 |     35
 TF   | 0000000000103 |     35
 TF   | 0000000019009 |     35
 TF   | 0000000002562 |     35
 TF   | 0000000026710 |     35
 TF   | 0000000002021 |     35
(147 rows)

